0.00,4.08034,0.299271,21.353383,0.000703
1.00,4.07988,0.299271,21.389825,0.000704
2.00,4.07965,0.299118,21.363806,0.000707
3.00,4.07942,0.299271,21.3657,0.000707
4.00,4.07912,0.299118,21.393232,0.000705
5.00,4.07896,0.299118,21.382971,0.000704
6.00,4.07881,0.299271,21.383776,0.000704
7.00,4.07866,0.299271,21.379058,0.000704
8.00,4.07843,0.299271,21.375834,0.000703
9.00,4.07828,0.299271,21.398533,0.000705
10.00,4.07813,0.299271,21.377609,0.000701
11.00,4.07797,0.299271,21.3891,0.000702
12.00,4.07782,0.299118,21.372653,0.000699
13.00,4.07767,0.299118,21.392437,0.0007
14.00,4.07751,0.299271,21.371133,0.000701
15.00,4.07744,0.299271,21.383477,0.000699
16.00,4.07729,0.299271,21.391106,0.0007
17.00,4.07721,0.299118,21.387504,0.0007
18.00,4.07706,0.299118,21.357194,0.000698
19.00,4.07698,0.299271,21.36013,0.000697
20.00,4.07683,0.299271,21.355034,0.000699
21.00,4.07675,0.299271,21.37508,0.000695
22.00,4.0766,0.299118,21.367637,0.000698
23.00,4.07652,0.299118,21.352731,0.000695
24.00,4.07645,0.299118,21.364246,0.000697
25.01,4.07629,0.299271,21.355714,0.000697
26.01,4.07622,0.299271,21.353343,0.000696
27.01,4.07614,0.299271,21.347062,0.000695
28.01,4.07607,0.299118,21.354075,0.000696
29.01,4.07591,0.299118,21.357296,0.000698
30.01,4.07584,0.299271,21.356347,0.000699
31.01,4.07576,0.299271,21.351866,0.000697
32.01,4.07568,0.299271,21.368287,0.000698
33.01,4.07561,0.299271,21.352361,0.000698
34.01,4.07552,0.299271,21.359517,0.000697
35.01,4.07544,0.299271,21.349585,0.000698
36.01,4.07536,0.299118,21.350129,0.000697
37.01,4.07521,0.299118,21.350437,0.000696
38.01,4.07521,0.299271,21.350151,0.000697
39.01,4.07513,0.299271,21.341619,0.0007
40.01,4.07498,0.299271,21.347755,0.0007
41.01,4.07498,0.299271,21.348346,0.0007
42.01,4.07491,0.299271,21.331283,0.000698
43.01,4.07483,0.299271,21.354055,0.000699
44.01,4.07468,0.299118,21.333721,0.000703
45.01,4.07468,0.299118,21.349596,0.000699
46.01,4.0746,0.299271,21.366347,0.000703
47.01,4.07452,0.299271,21.336346,0.000704
48.01,4.07445,0.299271,21.33933,0.000703
49.01,4.07437,0.299271,21.35454,0.000704
50.01,4.0743,0.299271,21.322193,0.000703
51.01,4.07422,0.299118,21.349087,0.000706
52.01,4.07422,0.299118,21.321028,0.000705
53.01,4.07414,0.299118,21.332519,0.000705
54.01,4.07407,0.299118,21.327114,0.000705
55.01,4.07399,0.299271,21.325692,0.000706
56.01,4.07391,0.299271,21.339766,0.000707
57.01,4.07384,0.299271,21.326471,0.000707
58.01,4.07376,0.299271,21.336968,0.000707
59.01,4.07376,0.299271,21.334289,0.000707
60.01,4.07368,0.299271,21.316965,0.000706
61.01,4.07361,0.299271,21.326086,0.000706
62.01,4.07353,0.299118,21.327058,0.000707
63.01,4.07353,0.299118,21.314236,0.000708
64.01,4.07346,0.299118,21.306344,0.000706
65.01,4.07338,0.299271,21.333665,0.000707
65.01,4.07185,0.299271,21.32281,0.000708
67.72274583,4.07185,0.299271,21.325108,0.000708
70.43549167,4.07178,0.299271,21.341553,0.000709
73.1482375,4.0717,0.299118,21.332477,0.00071
75.86098333,4.0717,0.299118,21.315627,0.000708
78.57372917,4.07162,0.299118,21.311431,0.000706
81.286475,4.07162,0.299271,21.336478,0.000708
83.99922084,4.07155,0.299271,21.312615,0.000709
86.71196667,4.07147,0.299271,21.313135,0.000708
89.4247125,4.0714,0.299271,21.332259,0.000708
92.13745834,4.0714,0.299271,21.322375,0.000709
94.85020417,4.07132,0.299271,21.317755,0.000707
97.56295,4.07132,0.299271,21.307469,0.000706
100.2756958,4.07124,0.299271,21.326,0.000708
102.9884417,4.07117,0.299271,21.30043,0.000707
105.7011875,4.07117,0.299271,21.309007,0.000706
108.4139333,4.07109,0.299118,21.31505,0.000709
111.1266792,4.07101,0.299118,21.311376,0.00071
113.839425,4.07101,0.299118,21.324622,0.000708
116.5521708,4.07094,0.299118,21.31763,0.000709
119.2649167,4.07094,0.299271,21.329289,0.00071
121.9776625,4.07086,0.299271,21.311112,0.000707
124.6904083,4.07086,0.299271,21.298979,0.000709
127.4031542,4.07079,0.299271,21.309808,0.000709
130.1159,4.07071,0.299271,21.329714,0.000708
132.8286458,4.07071,0.299271,21.315044,0.000708
135.5413917,4.07063,0.299271,21.301583,0.000709
138.2541375,4.07056,0.299271,21.316014,0.000711
140.9668833,4.07056,0.299271,21.28798,0.000712
143.6796292,4.07048,0.299118,21.321937,0.000709
146.392375,4.07048,0.299118,21.293998,0.00071
149.1051208,4.0704,0.299118,21.315965,0.00071
151.8178667,4.0704,0.299118,21.318026,0.000712
154.5306125,4.07033,0.299118,21.305158,0.000709
157.2433583,4.07033,0.299118,21.300797,0.000709
159.9561042,4.07024,0.299271,21.314968,0.00071
162.66885,4.07016,0.299271,21.289515,0.000708
165.3815958,4.07016,0.299271,21.302857,0.00071
168.0943417,4.07008,0.299271,21.326032,0.000708
170.8070875,4.07008,0.299271,21.303757,0.000709
173.5198333,4.07001,0.299271,21.301244,0.000711
176.2325792,4.07001,0.299271,21.316125,0.000708
178.945325,4.06993,0.299271,21.304679,0.00071
181.6580708,4.06993,0.299271,21.295153,0.000709
184.3708167,4.06985,0.299118,21.297735,0.00071
187.0835625,4.06985,0.299118,21.30809,0.000711
189.7963083,4.06978,0.299118,21.296975,0.000709
