current,voltage,temperature,soc
-0.001783,4.1719,30.262268,99.99998257373178
-2.9817,4.0788,30.25777,99.9708407319228
-2.9944,4.0741,30.284336,99.94157476582537
-3.0041,4.0701,30.273873,99.91221399613748
-2.9845,4.0677,30.270072,99.88304478834364
-3.0092,4.0668,30.270323,99.85363417346908
-3.004,4.0628,30.278484,99.8242743811378
-3.0173,4.0604,30.260403,99.79478460037843
-2.998,4.0584,30.230595,99.7654834494433
-2.9851,4.0568,30.265808,99.73630837750986
-3.0077,4.0542,30.275484,99.7069124229843
0.006087,4.1393,30.270192,99.70697191468068
0.006423,4.146,30.255871,99.70703469029525
-0.000977,4.1481,30.26122,99.70702514152124
0.004901,4.1486,30.24997,99.70707304176833
0.005259,4.1502,30.26301,99.70712444095204
0.005638,4.1507,30.245472,99.70717954431726
0.00182,4.1522,30.268488,99.7071973322074
-0.000638,4.1531,30.248453,99.70719109667228
-0.00093,4.1523,30.260002,99.7071820072559
-0.000996,4.1532,30.269265,99.70717227278412
0.002589,4.1541,30.269021,99.70719757654656
0.004999,4.1541,30.234335,99.70724643460312
0.002392,4.1548,30.258802,99.70726981297304
-0.002427,4.1552,30.293228,99.70724609252832
-0.001674,4.1543,30.2671,99.70722973157878
-0.001997,4.1556,30.295773,99.70721021376744
-0.002436,4.1561,30.279896,99.7071864053606
0.000241,4.1566,30.26466,99.70718876079002
-0.001505,4.1565,30.284183,99.70717405157316
0.003262,4.1576,30.301638,99.70720593294551
-0.002302,4.1569,30.260169,99.70718343419654
-0.000249,4.1572,30.284376,99.7071810005786
0.005339,4.158,30.272179,99.7072331816476
0.003691,4.158,30.267834,99.70726925587978
0.003636,4.1587,30.282835,99.70730479256584
0.003231,4.1582,30.266602,99.70733637095763
0.002899,4.1578,30.280022,99.70736470452556
0.004683,4.1577,30.303702,99.70741047413524
-0.000138,4.1582,30.285451,99.70740912538312
-0.000324,4.1577,30.277687,99.70740595874771
-0.000779,4.1579,30.252482,99.7073983451398
-0.001043,4.1582,30.24937,99.70738815131044
-0.00094,4.1591,30.245325,99.70737896415838
0.005229,4.158,30.237139,99.7074300701351
0.003831,4.158,30.254037,99.70746751266654
0.003828,4.1594,30.230249,99.70750492587727
9.7e-05,4.1599,30.242754,99.70750587391318
-0.001004,4.1587,30.243962,99.7074960612529
0.000174,4.1591,30.247089,99.70749776185338
-0.000947,4.1592,30.276354,99.70748850628635
0.007684,4.1602,30.244844,99.70756360636769
0.005959,4.1591,30.280583,99.7076218470476
0.005527,4.1587,30.248846,99.707675865547
0.003232,4.159,30.233836,99.7077074537124
0.006397,4.1584,30.277089,99.70776997521423
0.006077,4.1596,30.253838,99.70782936917496
0.001418,4.1596,30.270864,99.70784322809158
0.010263,4.1588,30.289503,99.70794353419966
0.000284,4.1591,30.277663,99.7079463098924
0.000645,4.1594,30.260449,99.7079526138425
-0.001292,4.1602,30.278423,99.7079399863952
-0.003136,4.1593,30.249548,99.70790933649216
-0.003525,4.1596,30.303148,99.70787488467192
-0.002075,4.1608,30.268268,99.70785460452242
-0.000619,4.1606,30.290141,99.70784855468506
0.000603,4.1601,30.27907,99.70785444814535
-0.001254,4.1603,30.277538,99.70784219209358
0.000249,4.161,30.25983,99.70784462571152
0.002019,4.1591,30.263776,99.70786435854131
0.004516,4.1601,30.271816,99.70790849596548
-3.36e-05,4.1602,30.286589,99.70790816757363
-0.001077,4.1598,30.272552,99.70789764144304
-0.002648,4.1604,30.270104,99.70787176104022
-7.19e-05,4.1606,30.271101,99.70787105832082
0.003838,4.1608,30.267721,99.70790856926722
0.00709,4.1602,30.279633,99.70797786385032
0.00269,4.161,30.281562,99.70800415474292
0.003077,4.1598,30.294488,99.70803422800556
0.007532,4.16,30.263343,99.70810784250484
-0.001493,4.16,30.272533,99.70809325057076
0.004666,4.1609,30.301724,99.70813885402984
0.002128,4.1603,30.279672,99.70815965217834
0.005819,4.1598,30.263009,99.70821652455902
0.004811,4.1601,30.247603,99.70826354518516
0.005683,4.1602,30.259038,99.70831908836084
