current,voltage,temperature,soc
0.01916,4.1766,30.432197,100.000187261525
-1.4997,4.1268,30.433044,99.9855298445612
-1.4984,4.1249,30.42702,99.97088513323324
-1.4973,4.1235,30.426105,99.95625117282792
-1.5072,4.1214,30.424175,99.94152045411896
-1.5022,4.1199,30.422589,99.92683860324011
-1.4906,4.1183,30.40802,99.91227012572716
-1.5002,4.1166,30.409874,99.89760782198036
-1.4944,4.1165,30.423823,99.8830022049165
-1.4951,4.116,30.406828,99.8683897463564
-1.4937,4.1134,30.435246,99.85379097078876
-1.489,4.1145,30.410681,99.83923813098144
-1.5,4.1124,30.37941,99.82457778194784
-1.4961,4.1117,30.410757,99.80995554982174
-1.4935,4.111,30.430596,99.79535872896729
-1.5065,4.1097,30.412141,99.78063485175456
-1.5135,4.1092,30.409364,99.76584255957964
-1.5043,4.1099,30.418513,99.75114018421218
-1.5074,4.1078,30.423599,99.73640751079002
-1.5123,4.1071,30.455188,99.72162694689436
-1.5097,4.1067,30.429063,99.70687179427034
0.007844,4.1483,30.446183,99.70694845812224
0.007135,4.1518,30.414645,99.7070181925158
0.001718,4.1542,30.425203,99.70703498350224
0.003487,4.1551,30.42329,99.70706906392694
0.004338,4.156,30.417718,99.70711146165634
0.000547,4.1579,30.412868,99.70711680779696
0.001673,4.1569,30.397803,99.70713315897292
0.004236,4.1572,30.409058,99.7071745597986
0.004677,4.1577,30.413783,99.70722027076688
0.004911,4.1592,30.424567,99.70726826874962
0.000244,4.1596,30.404544,99.70727065349972
0.004929,4.1584,30.406399,99.70731882740664
0.002784,4.1591,30.413298,99.70734603701445
0.005069,4.1593,30.411981,99.70739557922062
0.005669,4.1587,30.426593,99.7074509855664
0.001909,4.1609,30.431361,99.70746964330394
0.004134,4.1594,30.410312,99.70751004722588
0.007215,4.1607,30.408819,99.70758056350472
0.003214,4.16,30.417153,99.70761197574592
-0.000641,4.1607,30.43258,99.70760571089008
0.00306,4.1604,30.42078,99.70763561800212
0.006428,4.1607,30.399472,99.70769844248451
0.004255,4.1621,30.429056,99.70774002900794
0.001578,4.162,30.399548,99.70775545169512
0.001231,4.1614,30.402813,99.7077674829549
-0.001785,4.1616,30.429199,99.70775003713956
-0.001698,4.1605,30.416435,99.70773344162444
-0.004108,4.1615,30.412484,99.70769329181522
-0.001664,4.1617,30.364663,99.70767702860137
-0.000544,4.1616,30.390219,99.70767171178144
0.000749,4.1614,30.382272,99.7076790321824
0.004111,4.1621,30.371806,99.70771921131232
0.004133,4.1617,30.375785,99.70775960546068
0.00585,4.1614,30.393479,99.70781678082191
-0.000908,4.1629,30.369685,99.70780790642397
0.006235,4.1626,30.428451,99.70786884460811
0.004638,4.1619,30.394612,99.70791417440734
-0.001313,4.164,30.39609,99.70790134171514
0.004177,4.1621,30.370854,99.70794216590042
0.004627,4.1634,30.414606,99.7079873881904
0.006332,4.1627,30.427313,99.70804927441046
0.002442,4.1635,30.426122,99.70807314145868
0.002212,4.1634,30.392283,99.70809476058672
0.000648,4.1638,30.410824,99.70810109385752
-0.00141,4.1615,30.411319,99.7080873131294
-0.004248,4.1639,30.407469,99.70804579502096
-7.34e-05,4.164,30.393151,99.7080450776412
-0.003015,4.1629,30.390147,99.70801561033966
-0.003303,4.1631,30.389552,99.70798332825107
-0.002809,4.1624,30.419204,99.70795587430412
0.004644,4.1626,30.404207,99.70800126274472
0.003785,4.1635,30.380029,99.70803825569212
0.00841,4.1639,30.392895,99.70812045138236
0.004621,4.1633,30.384672,99.70816561503096
0.005191,4.1626,30.395951,99.7082163496122
0.006829,4.163,30.385748,99.70828309329455
0.003677,4.1632,30.388636,99.7083190306968
0.006823,4.1629,30.379849,99.7083857157378
0.003599,4.1642,30.388822,99.7084208908019
0.008823,4.1635,30.40106,99.70850712297492
-0.000607,4.1635,30.394648,99.70850119042034
0.006973,4.1636,30.403797,99.70856934149622
