current,voltage,temperature,soc
0.011334,4.1856,39.992691,100.0001107735973
-6.031,4.0193,39.956279,99.94116639691624
-5.9865,4.0127,39.96236,99.8826569439232
-5.9459,4.0072,39.970131,99.82454429771064
-5.9809,4.0008,39.961379,99.7660895766873
-6.0132,3.9952,39.936166,99.70731916948144
-6.0424,3.9898,39.965298,99.64826337414776
-6.0036,3.9879,39.95772,99.5895867931757
-5.9912,3.9848,39.959292,99.53103140442236
-6.0006,3.9801,39.956639,99.47238414414836
-5.9948,3.9773,39.947048,99.41379357055732
-0.002164,4.1221,39.955068,99.41377242056043
0.003956,4.1348,39.976224,99.41381108478764
-8.67e-05,4.1397,39.971864,99.41381023741948
-0.002806,4.1423,39.934904,99.4137828127932
-0.003805,4.1443,39.962714,99.41374562437449
0.000293,4.1464,39.967931,99.41374848802934
0.005071,4.1479,39.960794,99.41379804978264
0.005323,4.1498,39.980975,99.41385007447457
0.00593,4.1501,39.965478,99.41390803172108
0.006767,4.1518,39.99228,99.41397416944235
0.004011,4.1524,39.98241,99.41401337121567
0.004875,4.1529,39.973391,99.41406101735004
0.003701,4.1532,40.029659,99.41409718931789
-0.000774,4.1529,39.99577,99.41408962457778
0.00437,4.1536,39.979633,99.4141323350613
-0.001222,4.1545,40.00805,99.41412039176362
0.000533,4.1558,39.978801,99.4141256010743
0.000121,4.1551,40.003566,99.4141267836758
0.003735,4.1559,39.997553,99.41416328794487
-0.000803,4.1558,39.997528,99.41415543977138
0.000883,4.157,40.03687,99.41416406983018
0.000824,4.1569,40.033634,99.41417212324858
0.005006,4.1577,40.034391,99.41422104972008
0.00255,4.1576,40.041453,99.41424597231344
0.006315,4.1581,40.018404,99.41430769238288
0.004547,4.1576,40.031832,99.41435213278758
-0.001617,4.1581,40.016466,99.41433632893133
-0.000967,4.1578,40.023248,99.41432687789298
0.01356,4.1584,40.022776,99.41445940744823
2.62e-05,4.1581,40.0369,99.41445966351569
-0.000233,4.1596,40.017254,99.4144573862748
9.4e-05,4.159,40.019558,99.41445830499
-0.001067,4.159,40.020173,99.41444787659503
0.009452,4.1591,40.042036,99.41454025634108
0.00647,4.1585,40.030018,99.41460349131326
0.003641,4.1596,40.01339,99.41463907686716
